Source,Target,weight
苗人凤,大汉,2
马行空,马春花,21
马行空,徐铮,29
马春花,徐铮,65
马行空,脚夫,1
徐铮,脚夫,1
商宝震,何思豪,9
徐铮,何思豪,14
徐铮,商宝震,38
马春花,商宝震,47
马春花,何思豪,4
徐铮,苗人凤,5
马行空,苗人凤,3
马行空,车夫,1
徐铮,车夫,1
马行空,大汉,5
马春花,大汉,3
马行空,商宝震,20
马行空,阎基,24
阎基,大汉,3
徐铮,阎基,8
马春花,阎基,5
马行空,何思豪,2
何思豪,阎基,3
商宝震,阎基,7
徐铮,大汉,2
阎基,田归农,7
马行空,田归农,5
马春花,田归农,9
徐铮,田归农,6
商宝震,田归农,6
阎基,车夫,1
田归农,车夫,1
田归农,大汉,4
马春花,苗人凤,2
商宝震,苗人凤,4
商宝震,大汉,3
田归农,苗人凤,38
阎基,苗人凤,3
苗人凤,车夫,7
苗人凤,脚夫,6
脚夫,车夫,8
苗人凤,补锅匠,8
补锅匠,脚夫,7
补锅匠,车夫,5
苗人凤,店伴,5
南仁通,补锅匠,8
南仁通,脚夫,3
补锅匠,店伴,6
苗人凤,南仁通,4
南仁通,车夫,2
南仁通,店伴,3
脚夫,店伴,3
车夫,店伴,3
苗人凤,蒋调侯,5
田归农,南兰,9
田归农,苗若兰,1
苗人凤,南兰,6
苗人凤,苗若兰,2
南兰,苗若兰,2
商宝震,商老太,34
田归农,商老太,1
阎基,商老太,28
马行空,商老太,28
商老太,平四,1
阎基,平四,1
苗人凤,胡斐,96
阎基,胡斐,4
苗人凤,商老太,3
马春花,商老太,7
徐铮,商老太,5
商老太,胡斐,55
商宝震,胡斐,48
马行空,胡斐,20
马春花,胡斐,133
徐铮,胡斐,43
王剑杰,王剑英,22
马春花,王剑英,2
商宝震,王剑英,5
商老太,陈禹,6
商老太,殷仲翔,4
商老太,王剑英,18
陈禹,殷仲翔,11
陈禹,王剑英,12
殷仲翔,王剑英,10
商宝震,张总管,1
商宝震,陈禹,2
商宝震,殷仲翔,2
张总管,陈禹,1
张总管,殷仲翔,1
马行空,陈禹,7
马行空,殷仲翔,8
马春花,陈禹,1
马春花,殷仲翔,2
徐铮,陈禹,1
徐铮,殷仲翔,2
商老太,王剑杰,8
胡斐,王剑杰,30
马行空,王剑杰,1
马行空,王剑英,8
胡斐,陈禹,19
胡斐,殷仲翔,19
胡斐,王剑英,50
王剑杰,陈禹,3
王剑杰,殷仲翔,6
商宝震,王剑杰,4
赵半山,王剑英,37
王剑杰,赵半山,10
陈禹,赵半山,67
商老太,赵半山,23
胡斐,赵半山,92
殷仲翔,赵半山,11
阎基,王剑英,2
马行空,赵半山,9
商宝震,赵半山,10
赵半山,孙刚峰,23
陈禹,吕小妹,18
赵半山,吕小妹,15
陈禹,孙刚峰,16
孙刚峰,吕小妹,11
胡斐,孙刚峰,6
孙刚峰,王剑英,5
胡斐,吕小妹,5
马行空,吕小妹,4
商老太,吕小妹,3
殷仲翔,吕小妹,3
陈禹,大汉,1
大汉,吕小妹,1
马行空,孙刚峰,4
殷仲翔,孙刚峰,3
马春花,赵半山,4
徐铮,赵半山,3
徐铮,孙刚峰,2
徐铮,吕小妹,1
徐铮,王剑杰,1
徐铮,王剑英,1
吕小妹,王剑英,1
平四,胡斐,4
平四,赵半山,3
马春花,福康安,26
福康安,赵半山,8
福康安,王剑英,9
胡斐,福康安,89
胡斐,胖商人,7
胡斐,瘦商人,4
胖商人,瘦商人,3
胡斐,凤七,13
胡斐,俞朝奉,3
胡斐,大汉,17
胡斐,蛇皮张,3
胡斐,凤一鸣,20
凤一鸣,大汉,1
何思豪,胡斐,2
胡斐,中年武师,4
大汉,孙伏虎,1
大汉,尉迟连,1
大汉,杨宾,1
大汉,中年武师,1
孙伏虎,尉迟连,6
孙伏虎,杨宾,10
孙伏虎,中年武师,1
尉迟连,杨宾,4
尉迟连,中年武师,1
杨宾,中年武师,2
何思豪,尉迟连,1
胡斐,孙伏虎,1
胡斐,杨宾,1
何思豪,袁紫衣,1
胡斐,尉迟连,1
胡斐,袁紫衣,165
尉迟连,袁紫衣,2
袁紫衣,刘鹤真,13
胡斐,刘鹤真,35
孙伏虎,刘鹤真,2
孙伏虎,袁紫衣,1
尉迟连,刘鹤真,1
赵半山,袁紫衣,13
大汉,袁紫衣,5
袁紫衣,蓝秦,17
大汉,蓝秦,1
胡斐,蓝秦,3
赵半山,蓝秦,1
胡斐,崔百胜,1
胡斐,曹猛,1
袁紫衣,崔百胜,1
袁紫衣,曹猛,2
崔百胜,曹猛,1
袁紫衣,易吉,29
胡斐,易吉,8
车夫,胡斐,4
苗人凤,平四,2
苗人凤,赵半山,6
苗人凤,刘鹤真,16
胡斐,童怀道,4
阎基,刘鹤真,1
苗人凤,张飞雄,5
刘鹤真,张飞雄,3
田归农,胡斐,46
胡斐,张飞雄,2
胡斐,程灵素,378
大汉,程灵素,5
胡斐,姜铁山,16
胡斐,薛鹊,19
胡斐,慕容景岳,16
姜铁山,薛鹊,19
姜铁山,慕容景岳,11
薛鹊,慕容景岳,30
程灵素,薛鹊,29
程灵素,慕容景岳,27
大汉,姜铁山,1
大汉,薛鹊,1
大汉,慕容景岳,1
程灵素,姜铁山,22
胡斐,王铁匠,12
程灵素,王铁匠,8
程灵素,姜小铁,3
姜铁山,王铁匠,5
姜铁山,姜小铁,3
王铁匠,姜小铁,1
薛鹊,王铁匠,2
苗人凤,程灵素,23
平四,袁紫衣,1
田归农,程灵素,4
田归农,赵半山,2
田归农,田青文,1
程灵素,田青文,1
袁紫衣,程灵素,27
店伴,胡斐,6
店伴,程灵素,1
徐铮,程灵素,12
马春花,程灵素,56
胡斐,上官,5
徐铮,上官,1
胡斐,汪铁鹗,37
程灵素,汪铁鹗,14
胡斐,曾铁鸥,22
程灵素,曾铁鸥,5
汪铁鹗,曾铁鸥,6
马春花,汪铁鹗,4
商宝震,程灵素,6
胡斐,秦耐之,34
徐铮,秦耐之,3
商宝震,秦耐之,4
马春花,秦耐之,1
福康安,秦耐之,1
徐铮,福康安,3
商宝震,福康安,2
程灵素,秦耐之,4
马春花,袁紫衣,2
徐铮,袁紫衣,1
商宝震,袁紫衣,1
汪铁鹗,秦耐之,5
上官,秦耐之,2
殷仲翔,程灵素,2
殷仲翔,曾铁鸥,5
曾铁鸥,秦耐之,6
殷仲翔,秦耐之,4
殷仲翔,汪铁鹗,5
上官,曾铁鸥,1
袁紫衣,曾铁鸥,9
袁紫衣,秦耐之,11
殷仲翔,袁紫衣,3
王剑杰,袁紫衣,7
王剑杰,汪铁鹗,3
王剑杰,曾铁鸥,2
王剑杰,秦耐之,2
袁紫衣,汪铁鹗,2
袁紫衣,王剑英,14
汪铁鹗,王剑英,3
曾铁鸥,王剑英,2
秦耐之,王剑英,4
袁紫衣,无青子,1
袁紫衣,大智禅师,1
无青子,大智禅师,10
刘鹤真,秦耐之,1
王剑杰,褚轰,1
殷仲翔,褚轰,1
袁紫衣,褚轰,2
褚轰,汪铁鹗,1
褚轰,王剑英,1
胡斐,无尘道长,6
赵半山,无尘道长,3
袁紫衣,无尘道长,2
福康安,袁紫衣,7
福康安,无尘道长,1
胡斐,聂钺,9
程灵素,聂钺,1
福康安,聂钺,1
马春花,车夫,1
胡斐,姬晓峰,30
程灵素,姬晓峰,15
马春花,姬晓峰,4
福康安,程灵素,20
福康安,姬晓峰,5
福康安,蔡威,2
姬晓峰,蔡威,6
福康安,汪铁鹗,3
胡斐,张九,12
汪铁鹗,张九,7
曾铁鸥,张九,1
王剑杰,张九,1
殷仲翔,张九,1
秦耐之,张九,1
张九,王剑英,1
胡斐,任通武,17
苗人凤,张九,1
福康安,张九,1
福康安,任通武,2
张九,任通武,3
马春花,任通武,1
胡斐,相国夫人,3
任通武,相国夫人,1
胡斐,蔡威,10
程灵素,蔡威,6
汪铁鹗,相国夫人,2
福康安,相国夫人,1
胡斐,汤沛,25
福康安,汤沛,23
程灵素,汤沛,7
姬晓峰,汤沛,1
蔡威,汤沛,2
汤沛,无青子,6
汤沛,大智禅师,5
胡斐,无青子,4
胡斐,海兰弼,6
胡斐,大智禅师,1
汤沛,海兰弼,19
无青子,海兰弼,5
海兰弼,大智禅师,4
欧阳公政,大汉,1
欧阳公政,黄希节,2
大汉,黄希节,1
胡斐,欧阳公政,2
欧阳公政,周隆,6
汤沛,周隆,1
胡斐,周隆,1
胡斐,郭玉堂,9
蔡威,郭玉堂,2
胡斐,齐伯涛,1
胡斐,陈高波,1
程灵素,郭玉堂,2
程灵素,齐伯涛,1
程灵素,陈高波,1
姬晓峰,郭玉堂,2
姬晓峰,齐伯涛,1
姬晓峰,陈高波,1
蔡威,齐伯涛,1
蔡威,陈高波,1
郭玉堂,齐伯涛,1
郭玉堂,陈高波,1
齐伯涛,陈高波,4
汤沛,黄希节,2
海兰弼,黄希节,3
海兰弼,文醉翁,1
海兰弼,西灵道人,1
文醉翁,西灵道人,1
倪不大,倪不小,12
福康安,倪不大,5
福康安,倪不小,5
桑飞虹,倪不大,5
桑飞虹,倪不小,6
汤沛,倪不大,1
汤沛,倪不小,1
海兰弼,倪不大,1
海兰弼,倪不小,1
福康安,海兰弼,7
常赫志,常伯志,4
汤沛,常赫志,1
汤沛,常伯志,1
海兰弼,常赫志,1
海兰弼,常伯志,1
福康安,无青子,3
福康安,文醉翁,1
福康安,大智禅师,3
无青子,文醉翁,1
文醉翁,大智禅师,1
文醉翁,桑飞虹,3
胡斐,上官铁生,4
胡斐,文醉翁,1
上官铁生,上官,1
上官铁生,文醉翁,2
上官铁生,郭玉堂,1
上官,文醉翁,1
上官,郭玉堂,1
文醉翁,郭玉堂,1
上官铁生,桑飞虹,12
胡斐,桑飞虹,2
上官铁生,程灵素,2
程灵素,桑飞虹,2
王剑杰,福康安,2
上官铁生,福康安,2
福康安,桑飞虹,6
上官铁生,曾铁鸥,1
福康安,曾铁鸥,3
福康安,常赫志,2
福康安,常伯志,2
桑飞虹,常赫志,1
桑飞虹,常伯志,1
程灵素,海兰弼,1
海兰弼,桑飞虹,2
汤沛,桑飞虹,3
福康安,刘之余,4
福康安,石双英,2
赵半山,石双英,4
赵半山,刘之余,1
石双英,刘之余,1
赵半山,汤沛,3
赵半山,桑飞虹,1
桑飞虹,石双英,1
赵半山,海兰弼,2
福康安,西灵道人,1
福康安,欧阳公政,1
福康安,黄希节,1
欧阳公政,汤沛,1
欧阳公政,海兰弼,1
欧阳公政,桑飞虹,1
黄希节,桑飞虹,1
田归农,福康安,6
田归农,汤沛,11
田归农,海兰弼,2
苗人凤,汤沛,2
苗人凤,海兰弼,1
田归农,童怀道,13
汤沛,童怀道,4
田归农,李廷豹,8
大汉,李廷豹,1
福康安,李廷豹,1
童怀道,李廷豹,1
田归农,郭玉堂,1
汤沛,郭玉堂,1
郭玉堂,童怀道,1
苗人凤,童怀道,1
程灵素,童怀道,1
福康安,木文察,1
田归农,无青子,2
田归农,大智禅师,2
汤沛,王剑英,5
海兰弼,王剑英,1
福康安,陈家洛,3
汤沛,陈家洛,1
赵半山,陈家洛,1
赵半山,心砚,2
陈家洛,心砚,2
陈家洛,石双英,1
心砚,石双英,1
福康安,心砚,6
汤沛,心砚,3
赵半山,程灵素,3
胡斐,心砚,2
程灵素,心砚,1
胡斐,石万嗔,25
程灵素,石万嗔,32
福康安,石万嗔,3
福康安,大汉,1
大汉,德布,1
胡斐,德布,5
胡斐,陈家洛,10
福康安,德布,2
赵半山,德布,2
心砚,德布,1
李沅芷,余鱼同,1
程灵素,陈家洛,2
程灵素,德布,1
陈家洛,德布,1
马春花,倪不大,1
马春花,倪不小,1
马春花,常赫志,1
马春花,常伯志,1
胡斐,倪不大,1
胡斐,倪不小,1
胡斐,常赫志,1
胡斐,常伯志,1
倪不大,常赫志,1
倪不大,常伯志,1
倪不小,常赫志,1
倪不小,常伯志,1
马春花,陈家洛,4
胡斐,余鱼同,1
薛鹊,石万嗔,20
慕容景岳,石万嗔,19
姜铁山,石万嗔,3
薛鹊,姜小铁,1
姜小铁,慕容景岳,1
马春花,石万嗔,2
赵半山,石万嗔,1
袁紫衣,石万嗔,1
田归农,石万嗔,1
马春花,薛鹊,1
马春花,慕容景岳,1
曾铁鸥,石万嗔,10
马春花,曾铁鸥,1
马春花,汤沛,1
曾铁鸥,汤沛,1
汤沛,石万嗔,1
南兰,胡斐,11
苗若兰,胡斐,1
胡斐,司徒雷,3
胡斐,谢不挡,3
司徒雷,谢不挡,3
